No ,Pertanyaan ,Jawaban,Sumber
1,"Halo, minggu depan kami berangkat umrah nih, apa aja yang perlu disiapin ya?","Halo bapak/ibu, untuk persiapan umrah, bapak/ibu perlu mempersiapkan mental dan fisik dengan memperbanyak istighfar, dzikir, dan doa. Selesaikan tanggung jawab pada keluarga dan pekerjaan, sambung silaturahim, biasakan pola hidup sehat, dan pelajari tata cara ibadah umrah. Jangan lupa untuk menyiapkan bekal yang cukup, dokumen lengkap, dan pakaian yang diperlukan selama perjalanan, termasuk pakaian ihram dan beberapa set pakaian lainnya. Ada hal lain yang bisa saya bantu pak/bu? Halaman: 5-7",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
2,Apa itu umrah?,"Umrah adalah ibadah mengunjungi Baitullah (Ka’bah) dengan melakukan tawaf, sa’i, dan bercukur demi mengharap rida Allah SWT. Apakah ada hal tertentu dari umrah yang bapak/ibu ingin tahu lebih detail? Seperti proses ibadahnya, rukun-rukun nya, biaya nya, atau pun proses persiapannya, InsyaAllah saya siap sedia di sini untuk membantu ibu. Halaman: 61",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
3,Bagaimana hukum umrah menurut para imam?,"Menurut Imam Syafi’i dan Imam Hambali, umrah hukumnya wajib sekali seumur hidup bagi yang mampu. Sedangkan menurut Imam Hanafi dan Imam Malik, umrah hukumnya sunnah muakkadah. Apakah bapak/ibu ingin tahu lebih lanjut tentang pendapat para imam terkait ibadah lainnya? Halaman: 61",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
4,Apa bedanya umrah wajib dan umrah sunat?,"Umrah wajib adalah umrah pertama yang dilakukan seorang Muslim atau umrah yang dilaksanakan karena nadzar. Sedangkan umrah sunat adalah umrah yang dilaksanakan setelah umrah wajib, baik untuk kali kedua dan seterusnya, dan dilakukan bukan karena nadzar. Apakah bapak/ibu ingin tahu lebih detail mengenai pelaksanaan kedua jenis umrah ini? Halaman: 62",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
5,Kapan saja waktu yang tidak disarankan untuk melaksanakan umrah?,"Waktu yang tidak disarankan untuk melaksanakan umrah adalah saat jemaah haji wukuf di Padang Arafah pada hari Arafah (9 Dzulhijjah), hari Nahr (10 Dzulhijjah), dan hari-hari tasyriq (11, 12, 13 Dzulhijjah). Apakah ada waktu tertentu yang bapak/ibu rencanakan untuk umrah dan ingin tahu lebih detail tentang kesesuaian waktunya?",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
6,Apa saja syarat umrah?,"Syarat umrah mencakup lima hal: 1) Islam, 2) Baligh (dewasa), 3) Berakal sehat, 4) Merdeka (bukan hamba sahaya), dan 5) Istit}a’ah (mampu). Apakah ada hal lain mengenai syarat umrah yang ingin bapak/ibu ketahui? (Halaman: 62)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
7,Apa saja rukun umrah?,"Rukun umrah terdiri dari lima hal: 1) Ihram (niat), 2) Tawaf, 3) Sa’i, 4) Bercukur, dan 5) Tertib (melaksanakan rukun umrah secara berurutan). Apakah bapak/ibu ingin penjelasan lebih detail tentang salah satu rukun ini? (Halaman: 63)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
8,Apa saja wajib umrah?,"Wajib umrah adalah berihram dari miqat. Bila kewajiban ini dilanggar, ibadah umrah seseorang tetap sah tapi dia harus membayar dam. Apakah bapak/ibu memerlukan informasi lebih lanjut tentang apa itu miqat? (Halaman: 63)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
9,Apa itu miqat makani?,"Miqat makani adalah batas tempat untuk memulai ihram haji atau umrah. Miqat makani ditentukan sesuai tempat asal jamaah, seperti Zulhulaifah (Abyar Ali) bagi penduduk Madinah. Apakah bapak/ibu ingin tahu lebih detail tentang miqat untuk jamaah dari Indonesia? (Halaman: 70)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
10,Dimana miqat bagi jamaah haji dari Indonesia?,"Untuk jamaah haji gelombang I yang datang dari Madinah, miqatnya adalah Zulhulaifah (Abyar Ali). Sedangkan jamaah gelombang II yang turun di Jeddah, miqatnya bisa di asrama haji embarkasi, di dalam pesawat sebelum melintas Yalamlam/Qarn al-Manazil, atau di Bandar Udara King Abdul Aziz (KAIA) Jeddah. Apakah bapak/ibu memerlukan penjelasan tentang bagaimana cara melakukan niat ihram di miqat? (Halaman: 71)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
11,Apa itu tahallul dalam umrah?,"Tahallul umrah adalah keadaan seseorang setelah melaksanakan semua rukun umrah, sehingga dihalalkan melakukan perbuatan yang sebelumnya dilarang selama berihram. Apakah bapak/ibu ingin tahu lebih lanjut tentang rukun-rukun umrah yang harus dilaksanakan sebelum tahallul? (Halaman: 64)",Buku Tuntunan Manasik Haji dan Umrah 2024 Kemenag
